ProjectID,ProjectName,City,Region,Workstream,ProjectType,Complexity,CurrentPhase,RAGStatus,BaselineStartDate,BaselineEndDate,BaselineBudgetEUR,PrimaryDelayReason,PrimaryCostDriver,Sponsor,ProjectManager,ReadinessGateTargetDate
 PRJ00228 ,Interconnector Onshore Works – Donegal Town – Upgrade 228,Donegal Town,Northwest,Interconnector Onshore Works,Upgrade,Medium,Planning & Consents,Amber,18-01-2025,04-11-2027,81600747,Permits/Consents,Risk Realised,Onshore Delivery Lead,PM - Nolan,09-01-2026
 PRJ00229 ,Substation Upgrade – Longford – Upgrade 229,Longford,Midlands,Substation Upgrade,Upgrade,Medium,Construction,Amber,27-09-2024,14-06-2027,32867548,Land Access/Wayleaves,Design Rework,Onshore Delivery Lead,PM - Ryan,08-09-2025
PRJ_00230,Grid Automation – Ballina – Upgrade 230,Ballina,West,Grid Automation,Upgrade,Medium,Planning & Consents,Green,16-09-2024,01-10-2027,13809585,Contractor Capacity,Scope Change,Onshore Delivery Lead,PM - Walsh,09-10-2025
 PRJ00231 ,Substation Upgrade – Dublin – Upgrade 231,Dublin,Dublin,Substation Upgrade,Upgrade,High,Construction,Green,16-01-2024,04-06-2026,27037308,Permits/Consents,FX/Imports,Programme Sponsor A,PM - Kelly,15-11-2024
PRJ00232,Overhead Line – Blanchardstown – Upgrade 232,Blanchardstown,Dublin,Overhead Line,Upgrade,Medium,Commissioning,Green,25-11-2024,12-08-2027,32891730,Land Access/Wayleaves,Scope Change,Onshore Delivery Lead,PM - O'Rourke,06-11-2025
PRJ00233,Substation Build – Castlebar – Upgrade 233,Castlebar,West,Substation Build,Upgrade,Medium,Planning & Consents,Amber,16-07-2025,03-12-2027,33037662,Land Access/Wayleaves,Inflation/Materials,Onshore Delivery Lead,PM - Murphy,16-05-2026
PRJ00234 ,Overhead Line – Cork – New Build 234,Cork,South,Overhead Line,New Build,Low,Construction,Green,23-06-2023,12-07-2025,41754127,Design Rework,Risk Realised,Interconnector Sponsor,PM - Murphy,11-03-2024
PRJ00235,Substation Build – Mullingar – New Build 235,Mullingar,Midlands,Substation Build,New Build,Medium,Design,Green,25-03-2024,12-08-2026,74005625,Land Access/Wayleaves,FX/Imports,Infrastructure Director,PM - Byrne,23-01-2025
PRJ00236,Interconnector Onshore Works – Wexford – New Build 236,Wexford,East,Interconnector Onshore Works,New Build,High,Design,Green,29-04-2025,07-02-2029,92943800,Contractor Capacity,Inflation/Materials,Infrastructure Director,PM - Byrne,24-08-2026
Prj00237,Substation Build – Drogheda – New Build 237,Drogheda,East,Substation Build,New Build,Low,Procurement,Green,03-06-2023,17-07-2026,83925973,Land Access/Wayleaves,Risk Realised,Infrastructure Director,PM - O'Rourke,05-07-2024
PRJ-00238,Overhead Line – Kilkenny – Upgrade 238,Kilkenny,South,Overhead Line,Upgrade,High,Planning & Consents,Red,12-01-2023,29-08-2025,41192226,Procurement/Long Lead,Scope Change,Infrastructure Director,PM - Keane,14-12-2023
prj00239,Grid Automation – Bray – Reinforcement 239,Bray,East,Grid Automation,Reinforcement,High,Procurement,Green,18-06-2024,03-07-2027,14057014,Permits/Consents,Scope Change,Infrastructure Director,PM - Keane,11-07-2025
PRJ00240,Substation Build – Navan – New Build 240,Navan,East,Substation Build,New Build,Medium,Construction,Green,03-06-2023,17-06-2026,42825513,Procurement/Long Lead,Scope Change,Interconnector Sponsor,PM - O'Rourke,25-06-2024
PRJ_00241,Underground Cable – Clonmel – Reinforcement 241,Clonmel,South,Underground Cable,Reinforcement,Medium,Construction,Amber,08-07-2024,23-02-2027,73283740,Weather/Events,Productivity Delay,Interconnector Sponsor,PM - Hayes,09-06-2025
PRJ00242,Underground Cable – Sligo – New Build 242,Sligo,Northwest,Underground Cable,New Build,High,Construction,Green,06-08-2025,18-11-2028,70589389,Design Rework,Scope Change,Interconnector Sponsor,PM - O'Rourke,30-09-2026
PRJ00243,Reactive Compensation – Donegal Town – Upgrade 243,Donegal Town,Northwest,Reactive Compensation,Upgrade,High,Construction,Amber,26-09-2024,16-09-2026,16059456,Design Rework,Contractor Claims,Onshore Delivery Lead,PM - Walsh,04-06-2025
PRJ00244,Reactive Compensation – Mullingar – New Build 244,Mullingar,Midlands,Reactive Compensation,New Build,Medium,Procurement,Amber,09-11-2023,28-03-2026,23435382,Stakeholder/Community,Inflation/Materials,Interconnector Sponsor,PM - Hayes,08-09-2024
prj00245,Grid Automation – Tallaght – Upgrade 245,Tallaght,Dublin,Grid Automation,Upgrade,Low,Commissioning,Green,07-01-2024,23-09-2026,12945211,Permits/Consents,Inflation/Materials,Interconnector Sponsor,PM - Murphy,18-12-2024
PRJ00246,Grid Automation – Dublin – Upgrade 246,Dublin,Dublin,Grid Automation,Upgrade,Medium,Construction,Green,30-03-2026,18-04-2028,16203994,Design Rework,Design Rework,Onshore Delivery Lead,PM - Fitzgerald,17-12-2026
prj00247,Underground Cable – Tullamore – Reinforcement 247,Tullamore,Midlands,Underground Cable,Reinforcement,High,Procurement,Green,28-05-2024,09-11-2027,68943824,Design Rework,Productivity Delay,Programme Sponsor A,PM - Byrne,12-08-2025
prj00248,Overhead Line – Swords – New Build 248,Swords,Dublin,Overhead Line,New Build,Low,Planning & Consents,Green,20-04-2024,09-06-2026,51798668,Contractor Capacity,Inflation/Materials,Programme Sponsor A,PM - Hayes,18-01-2025
PRJ 00249,Substation Build – Swords – Upgrade 249,Swords,Dublin,Substation Build,Upgrade,Medium,Design,Green,09-03-2024,24-11-2026,55270146,Outage Window,Scope Change,Infrastructure Director,PM - Murphy,18-02-2025
Prj00250,Substation Build – Blanchardstown – Reinforcement 250,Blanchardstown,Dublin,Substation Build,Reinforcement,Medium,Construction,Amber,10-01-2026,29-05-2028,63483122,Permits/Consents,Risk Realised,Programme Sponsor B,PM - Nolan,10-11-2026
